City,Loccode
"ATLANTA, GA",USATL
"BATTLEBORO, NC",USBBO
"BESSEMER, AL",USBHM
"BUFFALO, NY",USBUF
"CALGARY, AB",CACAL
"CHARLOTTE, NC",USCLT
"CHICAGO, IL",USCHI
"CINCINNATI, OH",USCVG
"CLEVELAND, OH",USCLE
"COLUMBUS, 0H",USCMH
"COLUMBUS, OH",USCMH
"COLUMBUS, OH Discovery Park",USCMH
"COUNCIL BLUFFS, IA",USCBF
"CRANDALL, GA",USXDT
"DALLAS, TX",USDAL
"DENVER, CO",USDEN
"DETROIT, MI",USDET
"DILLON,SC",USDLL
"EAST SAINT LOUIS, MO",USESL
"EDMONTON, AB",CAEDM
"FRONT ROYAL, VA",USFRR
"GAINESVILLE, GA",USGVL
"GREER, SC",USGXX
"GREER, SC via BMW",USGXX
"HOUSTON, TX",USHOU
"HUNTSVILLE, AL",USHSV
"INDIANAPOLIS, IN",USIND
"JACKSONVILLE, FL",USJAX
"JOLIET, IL",USJOT
"KANSAS CITY, KS",USKCK
"KANSAS CITY, MO",USMKC
"LACHINE, QC",CAMTR
"LAREDO, TX",USLRD
"LONG BEACH, CA",USLGB
"LOS ANGELES, CA",USLAX
"LOUISVILLE, KY",USLUI
"MARION, AR",USMQM
"MEMPHIS, TN",USMEM
"MEMPHIS, TN via CSX",USMEM
"MEMPHIS, TN via NS",USMEM
"MIAMI, FL",USMIA
"MINNEAPOLIS, MN",USMES
"MOBILE, AL",USMOB
"MONTREAL, QC",CAMTR
"NASHVILLE, TN",USBNA
"NEW ORLEANS, LA",USMSY
"OAKLAND, CA",USOAK
"PHOENIX, AZ",USPHX
"PITTSBURGH, PA",USPIT
"POCATELLO, ID",USPIH
"REGINA, SK",CAREG
"SAINT LOUIS, MO",USSTL
"SALT LAKE CITY, UT",USSLC
"SAN ANTONIO, TX",USSAT
"SANTA TERESA, NM",USSXT
"SASKATOON, SK",CASAK
"SAVANNAH, GA",USSAV
"SEATTLE, WA",USSEA
"ST. PAUL, MN",USSTP
"TAMPA, FL",USTPA
"TORONTO, ON",CATOR
"VANCOUVER, BC",CAVAN
"VAUGHAN, ON",CATOR
"WEST MONROE, LA",USMLU
"WINNIPEG, MB",CAWNP
"WORCESTER, MA",USORH
