rampMC,city,rr_terminal
CSX 071,"Atlanta, GA",CSX / Fairburn
NORFOL 123,"Atlanta, GA",NS / Austell
CSXINT 027,"Battleboro, NC",CSX / Rocky Mount
CSXBES 001,"Bessemer, AL",CSX / CAICTF
CSX 050,"Buffalo, NY",CSX / Buffalo
CNRCAL 001,"Calgary, AB",CN Rail / Calgary
CPRCAL 001,"Calgary, AB",CPKC / Calgary
CSXINT 008,"Charlotte, NC",CSX / Charlotte
NORFOL 070,"Charlotte, NC",NS / Charlotte
BURLIN 244,"Chicago, IL",BNSF / Corwith
CANADI 083,"Chicago, IL",CN Rail / Harvey
CSX 040,"Chicago, IL",CSX / Bedford Park
CSX 047,"Chicago, IL",CSX / 59th St
NORFOL 020,"Chicago, IL",NS / Landers
SOOLIN 003,"Chicago, IL",CPKC / Bensenville
CSX 004,"Cincinnati, OH",CSX / Cincinnati
NORFOL 666,"Cincinnati, OH",NS / Sharonville
CSX 063,"Cleveland, OH",CSX / Cleveland
NORFOL 021,"Cleveland, OH",NS / Cleveland
NORFOL 680,"Columbus, OH",NS / Rickenbacker
NORFOL 030,"Columbus, OH Discovery Park",NS / Discovery Park
IOWAIN 010,"Council Bluffs, IA",Iowa Interstate / Council Bluffs
UNIONP 096,"Council Bluffs, IA",UP / Council Bluffs
APPREG 001,"Crandall, GA",Appalachian Regional Port / Crandall
KANSAS 089,"Dallas, TX",CPKC / Wylie
UNIONP 081,"Dallas, TX",UP / Wilmer
UNIONP 026,"Denver, CO",UP / Denver
CPRDET 001,"Detroit, MI",CPKC / Detroit
NORFOL 101,"Detroit, MI",NS / Livernois
SCIPDI 001,"Dillon, SC",South Carolina Inland Port / Dillon
UNIONP 023,"East Saint Louis, MO",UP / East St Louis - Dupo
CPRYEG 001,"Edmonton, AB",CPKC / Edmonton
VIRGIN 023,"Front Royal, VA",Virginia Inland Port / Front Royal
BLUER 023,"Gainesville, GA",Blue Ridge Connector / Gainesville
SOUTHC 189,"Greer, SC",South Carolina Inland Port / Greer
SYNCRE 016,"Greer, SC via BMW",BMW / Syncreon Automotive
KANSAS 071,"Houston, TX",CPKC / Kendleton
UNIONP 015,"Houston, TX",UP / Houston
NORFOL 036,"Huntsville, AL",NS / Huntsville
CNR 015,"Indianapolis, IN",CN Rail / Indianapolis
CSX 100,"Indianapolis, IN",CSX / ICTF
CSX 097,"Jacksonville, FL",CSX / Dames Point
UNIONP 170,"Joliet, IL",UP / Global4 - Joliet
UNIONP 078,"Kansas City, KS",UP / KCIT
KANSAS 112,"Kansas City, MO",CPKC / IFG
NORFOL 061,"Kansas City, MO",NS / Kansas City
CPRMTR 002,"Lachine, QC",CPKC / Montreal - Lachine
KANSAS 109,"Laredo, TX",CPKC / Laredo
UNIONP 046,"Laredo, TX",UP / Laredo
UNIONP 090,"Long Beach, CA",UP / ICTF
YUSENT 002,"Los Angeles, CA",Yusen / Terminal
CSX 091,"Louisville, KY",CSX / Louisville
NORFOL 065,"Louisville, KY",NS / Appliance Park
UNIONP 085,"Marion, AR",UP / Marion
BURLIN 103,"Memphis, TN",BNSF / Memphis
CNR 007,"Memphis, TN",CN Rail / Memphis
CSXINT 010,"Memphis, TN",CSX / Memphis
NORFOL 697,"Memphis, TN",NS / Rossville
FLORID 035,"Miami, FL",FEC / Miami Ramp
SOOLIN 001,"Minneapolis, MN",CPKC / Minneapolis
MOBILE 112,"Mobile, AL",APM / Mobile
CNRMTR 002,"Montreal, QC",CN Rail / Taschereau
CSXINT 011,"Nashville, TN",CSX / Nashville
CSX 009,"New Orleans, LA",CSX / New Orleans
UNIONP 070,"New Orleans, LA",UP / New Orleans
BURLIN 324,"Oakland, CA",BNSF / Oakland
UNIONP 060,"Oakland, CA",UP / Oakland
DUNCAN 018,"Phoenix, AZ",UP / Tucson - Wilmot
NORFOL 091,"Pittsburgh, PA",NS / Pittsburgh
SAVSER 002,"Pocatello, ID",UP / Pocatello
CPRREG 001,"Regina, SK",CPKC / Regina
NORFOL 028,"Saint Louis, MO",NS / St Louis
UNIONP 023,"Saint Louis, MO",UP / St Louis
UNIONP 012,"Salt Lake City, UT",UP / Salt Lake City
UNIONP 197,"San Antonio, TX",UP / San Antonio
UNIONP 192,"Santa Teresa, NM",UP / Santa Teresa
CNRSAS 001,"Saskatoon, SK",CN Rail / Saskatoon
GEORGI 022,"Savannah, GA",Georgia Ports Authority / Savannah
UNIONP 009,"Seattle, WA",UP / Seattle
UNIONP 256,"St. Paul, MN",UP / St Paul - TCIT
CSX 048,"Tampa, FL",CSX / Tampa
CNRTOR 002,"Toronto, ON",CN Rail / Brampton
CPRVAN 001,"Vancouver, BC",CPKC / Vancouver
CPRVAU 001,"Vaughan, ON",CPKC / Toronto - Vaughan
OUACHI 1,"West Monroe, LA",CPKC / West Monroe
CPRWNP 001,"Winnipeg, MB",CPKC / Winnipeg
CSX 058,"Worcester, MA",CSX / Stackbridge
